	COMMON.id	COMMON.assoc	COMMON.name	COMMON.xpos	COMMON.ypos	COMMON.width	COMMON.height	COMMON.attribs	COMMON.colorf	COMMON.colorb	COMMON.texturenumber	COMMON.fontnumber	COMMON.active	COMMON.commonattribs	COMMON.help	totalgadgets	VERSION.major	VERSION.minor	VERSION.revision	panel	crdefault	escdefault	defaultfocus	hotornot	text	status	quickkey	grayedout	stages	range	thick	knobpos	knobsize	filename	link	crtdefault	maxchars	itemheight
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET0	0	205	allies.GUI	240	108	241	339	52685	52685	52685	0	-51	1	-51		40	-51	-51	-51		OK	OK	OK															
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET1	6	0	LOGO0	10	12	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET2	6	0	LOGO1	10	35	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET3	6	0	LOGO2	10	58	130	21	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET4	6	0	LOGO3	10	82	130	19	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET5	6	0	LOGO4	10	104	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET6	6	0	LOGO5	10	127	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET7	6	0	LOGO6	10	150	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET8	6	0	LOGO7	10	173	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET9	6	0	LOGO8	10	196	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI Compile\ReIm_GUIs\ALLIES.GADGET10	6	0	LOGO9	10	219	130	20	0	15	0	0	0	1	0										0														
