	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Scale	EnergyMake	DefaultMissionType	maneuverleashlength	MovementClass	MinWaterDepth	buildangle	canattack	Weapon1	Weapon2	Weapon3	downloadable	wpri_badTargetCategory	BadTargetCategory	wsec_badTargetCategory	Floater	Canfly	cruisealt	BankScale	Builddistance	CanReclamate	MetalMake	Upright	standingmoveorder	SonarDistance	WaterLine	Downloadable	Spanishdescription	Italiandescription	NoChaseCategory	canhover	digger	DamageModifier	antiweapons	ai_weight	ai_limit	noshadow	floater	waterline	ActivateWhenBuilt	onoffable	RadarDistanceJam	NoShadow	Waterline	sortbias	IsAirBase	TransMaxUnits	canload	transportsize	transportcapacity	altfromsealevel	corpse	norestrict	HoverAttack	CloakCost	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	Commander	ShowPlayerName	mincloakdistance	maxwaterdepth	amphibious	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	Buildangle	MakesMetal	teleporter	Stealth	ExtractsMetal	kamikaze	selfdestructcountdown	init_cloaked	attackrunlength	SonarDistanceJam	FrenchDescription	istargetingupgrade	transportmaxunits	TidalGenerator	kamikazedistance	WindGenerator	MobileStandOrders	weapon1	cantbetransported	Germanname	Germandescription	Frenchname	Spanishname	Italianname	canreclamate	canresurrect	resurrect	stealth	BuildAngle	OVRadjust	upright	ovradjust	PitchScale	MoveRate2
ReImagined HPI Compile\ReIm_Units\ARMAAP.UNITINFO	ARMAAP	1	ARM	ARMAAP	ARM-ACF	Adv. Aircraft Plant	Produces Aircraft	7	6	4521	2210	2100	0	10	0	17376	200	0	1	1	1	0	240	1200	AIRPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	armaap_dead	Verb. Flugzeugfabrik	Tech Level 2	1	Usine aéro. évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr.Aeronaves	Produce aeronaves	Fabbrica Aerei Spec.	Produce velivoli	1																																																																																																																
ReImagined HPI Compile\ReIm_Units\ARMAAS.UNITINFO	ARMAAS	1.2	ARM	ARMAAS	ASD-SB	Archer	Anti-Air Ship	3	3	17058	1358	2360			7	38628	0	1	0	1	1	0	350	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armaas_dead	Falke	Flugabwehrboot	294	Archer	Navire antiaérien	1	2	1	1	1	1	1	Arquero	Buque Antiaéreo	Archer	Nave antiaerea		1	3	0.018	0.011	160	1	1	0.6	7	Standby	640	BOATS4	30	16384	1	ARMAAS_WEAPON1	ARMAAS_WEAPON2	ARMAAS_WEAPON3	1	NOTAIR	NOTAIR	NOTAIR	1																																																																																									
ReImagined HPI Compile\ReIm_Units\ARMACA.UNITINFO	ARMACA	1	ARM	ARMACA	ARM-CA1	Adv. Construction Aircraft	Tech Level 2	2	2	12096	220	360	0	10	0.1	24763	100	1	1	1	1	0	295	0	ARM_CVTOL	100	100	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 CONSTR NOWEAPON NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.			Verb. Konstr.-Flugzeug	Tech Level 2	2	Avion de constr. évolué	Niveau Tech 2			1	1	1	1	1	Aeronave Av. Construcción	Nivel Tecn. 2	Aereo Costruttore Spec.	Tecnologia Livello 2	1	1	7.6	1.5	0.06	124	1	1	0.8	24	VTOL_standby	1280													1	80	1.5	60	1	0.5																																																																																			
ReImagined HPI Compile\ReIm_Units\ARMACK.UNITINFO	ARMACK	1	ARM	ARMACK	ARM-ACK1	Adv. Construction Kbot	Tech Level 2	2	2	5784	300	1040	25	20	0.1	13432	160	1	1	1	1	0	249	0	ARM_CKBOT	100	100	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armack_dead	Verb. Konstr.-Kbot	Tech Level 2	3	Kbot de constr. évolué	Niveau Tech 2			1	1	1	1	1	Kbot Av. Construcción	Nivel Tecn. 2	Kbot Costruttore Spec.	Tecnologia Livello 2	1	1	0.6	0.6	0.18	1010	1	1		17	Standby	640	TANKSH2															60	1	0.5	1	1																																																																																	
ReImagined HPI Compile\ReIm_Units\ARMACSUB.UNITINFO	ARMACSUB	1.2	ARM	ARMACSUB	ARM-CSW2	Advanced Construction Sub	Tech Level 2	4	4	7568	695	360			0.1	16565	225	1	1	1	1	0	120	0	ARM_CSUB	50	50	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER LEVEL2 CONSTR NOWEAPON NOTAIR CTRL_B	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armacsub_dead	Verb. Konstr. U-Boot	Tech Level 2	173	Ss-marin de constr. évolué	Niveau Tech 2			1	1	1	1	1	Submarino Av. Constr.	Nivel Tecn. 2	Unità Sub di costr. Av.	Tecnologia Livello 2		1	2.15	0.2	0.032	256	1	1		17	Standby	640	BOATD6	20														100	1	0.9			400	20	1																																																																														
ReImagined HPI Compile\ReIm_Units\ARMACV.UNITINFO	ARMACV	1	ARM	ARMACV	ARM-CV1	Adv. Construction Vehicle	Tech Level 2	3	3	4263	481	1205	18	16	0.1	10397	200	1	1	1	1	0	223	0	ARM_CVEHICLE	100	100	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armacv_dead	Verb. Konstr.-Fahrzeug	Tech Level 2	4	Véhicule de constr. évolué	Niveau Tech 2			1	1	1	1	1	Vehículo Av. Construcción	Nivel Tecn. 2	Veicolo Costruttore Spec.	Tecnologia Livello 2	1	1	1.6	0.036	0.018	240	1	1		21	Standby	640	TANKSH3															60	1	0.5																																																																																			
ReImagined HPI Compile\ReIm_Units\ARMAH.UNITINFO	ARMAH	1.2	ARM	ARMAH	ARM-HAA	Swatter	Anti-Air Hovercraft	3	3	1444	120	375	0	16	2.6	3747	0	1	0	1	1	0	280	0	ARM_HOVER_MID	0	0	BIG_UNITEX	BIG_UNIT	ARM HOVER WEAPON LEVEL2 NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armah_dead	Swatter	Flugabwehr-Hovercraft	284	Swatter	Hovercraft Antiaérien	1	2	1	1	1	1	1	Swatter		Swatter			1	2.9	0.08	0.07	280	1	1		2.6	Standby	640	TANKHOVER3			1	ARMAH_WEAPON			1	VTOL	VTOL														Hovercraft antiaéreo	Hovercraft antiaereo	VTOL	1																																																																										
ReImagined HPI Compile\ReIm_Units\ARMALAB.UNITINFO	ARMALAB	1	ARM	ARMALAB	ARM-KL2	Adv. Kbot Lab	Produces Kbots	5	6	3277	2007	3005	0	10	0	13520	200	0	1	1	1	0	220	0	KBOTPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL2 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	occco occco occco occco occco occco	armalab_dead	Verb. Kbot-Labor	Tech Level 2	5	Labo de Kbots évolué	Niveau Tech 2	1	2	1	1	1	1	1	Laboratorio Av. Kbot	Produce Kbots	Lab. Kbot Spec.	Produce Kbot	1														2048																																																																																																		
ReImagined HPI Compile\ReIm_Units\ARMAMB.UNITINFO	ARMAMB	1.2	ARM	ARMAMB	ARM-GUARD	Ambusher	Pop-up Heavy Cannon	3	3	16821	2002	1658	0	10	0	20172	0	0	0	1	1	0	360	0	GUARD	0	0	lARGE_BUILDINGEX	LARGE_BUILDING	ARM LEVEL2 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armamb_dead	Ambusher	Schwere Tarn-Kanone	200	Embushor	Canon lourd Pop-up	1	2					1	Ambusher	Cañon de ataque pesado	Ambusher	Cannone pesante a comparsa								1			GUARD_NOMOVE				8192	1	ARMAMB_GUN			1	VTOL	VTOL																		1	0.28																																																																								
ReImagined HPI Compile\ReIm_Units\ARMAMD.UNITINFO	ARMAMD	1	ARM	ARMAMD	ARM-AMD1	Protector	Anti Missile Defense System	4	4	88000	1437	780	0	10	0	95678	0	0	0	1	1	1	155	0	ARM_AMD	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	ARM SPECIAL DEFENSIVE WEAPON LEVEL3 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armamd_dead	Protector	Atomare Raketenabwehr	6	Protector	Missile nucléaire de défense	1	2						Protector	Sistema de Defensa Antimisiles	Protector	Sistema di difesa anti-missili	1							1							4096		AMD_ROCKET				NOTAIR	NOTAIR																			0.5	1																																																																							
