	ID	name	rendertype	lineofsight	turret	model	range	reloadtime	weapontimer	weaponvelocity	startvelocity	weaponacceleration	turnrate	areaofeffect	metalpershot	soundstart	soundhit	firestarter	smokedelay	guidance	tracks	selfprop	smoketrail	tolerance	explosiongaf	explosionart	waterexplosiongaf	waterexplosionart	lavaexplosiongaf	lavaexplosionart	startsmoke	DAMAGE.default	DAMAGE.ARMTHUND	DAMAGE.ARMBRAWL	DAMAGE.ARMPEEP	DAMAGE.ARMFIG	DAMAGE.ARMCA	DAMAGE.ARMACA	DAMAGE.ARMATLAS	DAMAGE.ARMPNIX	DAMAGE.ARMHAWK	DAMAGE.ARMLANCE	DAMAGE.CORFINK	DAMAGE.CORVENG	DAMAGE.CORVAMP	DAMAGE.CORHURC	DAMAGE.CORTITAN	DAMAGE.CORACA	DAMAGE.CORSHAD	DAMAGE.CORAPE	DAMAGE.CORCA	DAMAGE.CORVALK	ballistic	toairweapon	edgeeffectiveness	minbarrelangle	accuracy	burnblow	color	beamweapon	color2	propeller	waterweapon	vlaunch	paralyzer	noautorange	flighttime	energypershot	stockpile	targetable	commandfire	cruise	twophase	shakemagnitude	shakeduration	DAMAGE.armamd	DAMAGE.corfmd	DAMAGE.corcom	DAMAGE.coraap	DAMAGE.coraca	DAMAGE.corack	DAMAGE.coracsub	DAMAGE.coracv	DAMAGE.corah	DAMAGE.corak	DAMAGE.coralab	DAMAGE.coramph	DAMAGE.corap	DAMAGE.corape	DAMAGE.corarad	DAMAGE.corarch	DAMAGE.corason	DAMAGE.corasp	DAMAGE.corasy	DAMAGE.coratl	DAMAGE.coravp	DAMAGE.corawac	DAMAGE.corbats	DAMAGE.corbeac	DAMAGE.corberg	DAMAGE.corbuild	DAMAGE.corbunk	DAMAGE.corburn	DAMAGE.corbuzz	DAMAGE.corbvalk	DAMAGE.corca	DAMAGE.corcan	DAMAGE.corcarry	DAMAGE.corch	DAMAGE.corck	DAMAGE.corckfus	DAMAGE.corcrash	DAMAGE.corcrus	DAMAGE.corcs	DAMAGE.corcsa	DAMAGE.corcv	DAMAGE.cordecom	DAMAGE.cordev1	DAMAGE.cordino	DAMAGE.cordoom	DAMAGE.corestor	DAMAGE.coreter	DAMAGE.corfast	DAMAGE.corfav	DAMAGE.corfdrag	DAMAGE.corfhlt	DAMAGE.corfink	DAMAGE.corflak	DAMAGE.corfmkr	DAMAGE.corfrt	DAMAGE.corfus	DAMAGE.corgant	DAMAGE.corgate	DAMAGE.corgator	DAMAGE.corgeo	DAMAGE.corgol	DAMAGE.corhead	DAMAGE.corhlt	DAMAGE.corhp	DAMAGE.corhrk	DAMAGE.corhunt	DAMAGE.corhurc	DAMAGE.corint	DAMAGE.corkrog	DAMAGE.corlab	DAMAGE.corlevlr	DAMAGE.corllt	DAMAGE.corlook	DAMAGE.cormabm	DAMAGE.cormakr	DAMAGE.cormart	DAMAGE.cormex	DAMAGE.cormh	DAMAGE.cormine1	DAMAGE.cormine2	DAMAGE.cormine3	DAMAGE.cormine4	DAMAGE.cormine5	DAMAGE.cormine6	DAMAGE.cormist	DAMAGE.cormls	DAMAGE.cormlv	DAMAGE.cormmkr	DAMAGE.cormoho	DAMAGE.cormort	DAMAGE.cormship	DAMAGE.cormstor	DAMAGE.cornecro	DAMAGE.corplat	DAMAGE.corpt	DAMAGE.corpun	DAMAGE.corpyro	DAMAGE.corrad	DAMAGE.corraid	DAMAGE.correap	DAMAGE.corrl	DAMAGE.corroach	DAMAGE.corroy	DAMAGE.corscorp	DAMAGE.corseal	DAMAGE.corseap	DAMAGE.corsent	DAMAGE.corsfig	DAMAGE.corsh	DAMAGE.corshad	DAMAGE.corshark	DAMAGE.corsilo	DAMAGE.corsjam	DAMAGE.corsnap	DAMAGE.corsolar	DAMAGE.corsonar	DAMAGE.corspec	DAMAGE.corspot	DAMAGE.corspy	DAMAGE.corss	DAMAGE.corssub	DAMAGE.corstorm	DAMAGE.corsub	DAMAGE.corsumo	DAMAGE.corsy	DAMAGE.cortarg	DAMAGE.corthovr	DAMAGE.corthud	DAMAGE.corthund	DAMAGE.cortide	DAMAGE.cortitan	DAMAGE.cortl	DAMAGE.cortoast	DAMAGE.cortron	DAMAGE.cortruck	DAMAGE.cortship	DAMAGE.coruwes	DAMAGE.coruwfus	DAMAGE.coruwmex	DAMAGE.coruwms	DAMAGE.corvalk	DAMAGE.corvamp	DAMAGE.corveng	DAMAGE.corvipe	DAMAGE.corvoyr	DAMAGE.corvp	DAMAGE.corvrad	DAMAGE.corvroc	DAMAGE.corwin	soundtrigger	duration	DAMAGE.armmine1	DAMAGE.armmine2	DAMAGE.armmine3	DAMAGE.armmine4	DAMAGE.armmine5	DAMAGE.ARMCOM	DAMAGE.CORCOM	coverage	interceptor	burstrate	DAMAGE.armcom	aimrate	sprayangle	burst	DAMAGE.Default	holdtime	DAMAGE.ARMSEAP	DAMAGE.ARMSEHAK	DAMAGE.CORSEAP	DAMAGE.CORHUNT	DAMAGE.armflash	DAMAGE.armpw	DAMAGE.armwar	DAMAGE.armatl	DAMAGE.armtl	DAMAGE.armsubk	startfire	DAMAGE.armaas	DAMAGE.armaca	DAMAGE.armack	DAMAGE.armacsub	DAMAGE.armacv	DAMAGE.armah	DAMAGE.armamph	DAMAGE.armanac	DAMAGE.armaser	DAMAGE.armatlas	DAMAGE.armawac	DAMAGE.armbats	DAMAGE.armbrawl	DAMAGE.armbs	DAMAGE.armbull	DAMAGE.armbv	DAMAGE.armca	DAMAGE.armcarry	DAMAGE.armch	DAMAGE.armck	DAMAGE.armcroc	DAMAGE.armcrus	DAMAGE.armcs	DAMAGE.armcsa	DAMAGE.armcuda	DAMAGE.armcv	DAMAGE.armdecom	DAMAGE.armfark	DAMAGE.armfast	DAMAGE.armfav	DAMAGE.armfido	DAMAGE.armfig	DAMAGE.armflea	DAMAGE.armham	DAMAGE.armhawk	DAMAGE.armhrk	DAMAGE.armjam	DAMAGE.armjeth	DAMAGE.armlance	DAMAGE.armlatnk	DAMAGE.armlcrwl	DAMAGE.armmanni	DAMAGE.armmark	DAMAGE.armmart	DAMAGE.armmav	DAMAGE.armmerl	DAMAGE.armmh	DAMAGE.armmls	DAMAGE.armmlv	DAMAGE.armmship	DAMAGE.armpeep	DAMAGE.armpnix	DAMAGE.armpt	DAMAGE.armrectr	DAMAGE.armrock	DAMAGE.armroy	DAMAGE.armrtank	DAMAGE.armsam	DAMAGE.armscab	DAMAGE.armscram	DAMAGE.armseap	DAMAGE.armseer	DAMAGE.armsehak	DAMAGE.armsfig	DAMAGE.armsh	DAMAGE.armsjam	DAMAGE.armsnipe	DAMAGE.armspid	DAMAGE.armspy	DAMAGE.armss	DAMAGE.armstar	DAMAGE.armstraf	DAMAGE.armstump	DAMAGE.armsub	DAMAGE.armthovr	DAMAGE.armthund	DAMAGE.armship	DAMAGE.armvader	DAMAGE.armyork	DAMAGE.armzeus	DAMAGE.armtship	meteor	noradar	unitsonly	soundwater	randomdecay	groundbounce	endsmoke	dropped	metal	energy	pitchtolerance	noexplode
ReImagined HPI Compile\ReIm_Weapons\Armaas_weapon.ARMAAS_WEAPON1	77	Missiles	1	1	1	missile	710	2	5	450	430	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	57	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armaas_weapon.ARMAAS_WEAPON2	78	Missiles	1	1	1	missile	710	2	5	450	430	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	57	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armaas_weapon.ARMAAS_WEAPON3	79	Flak Cannon	4		1		750	0.7	1	950				125		canlite2	xplomed2							767	fx	explode2	fx	h2o	fx	lavasplash	1	146																					1	1	0.90	-24	1000	1	1																																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Armah_weapon.ARMAH_WEAPON	196	Missiles	1	1	1	missile	650	2.1	5	690	420	164	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	49	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armamb_weapon.ARMAMB_GUN	40	Pop-up Cannon	4		1		910	3.1		350				100		cannhvy5	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	310																					1			-35																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\Armamph_weapon.ARMAMPH_WEAPON1	156	Energy Laser	0	1	1		260	1.6		500				8		lasrfir3	lasrhit2	20							fx	explode5	fx	h2oboom1	fx	lavasplashsm		60																											232	1	234																																																																																																																																																																																																																																																																																													
ReImagined HPI Compile\ReIm_Weapons\Armamph_weapon.ARMAMPH_WEAPON2	38	Missiles	1	1	1	missile	700	2	5	660	470	154	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	46	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armanac_weapon.ARMANAC_WEAPON	153	Light Guass	4	1	1		300	1.2		350				16		canlite3	xplosml3								fx	explode4	fx	h2o	fx	lavasplash	1	80																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\Armatl_weapon.ARMATL_TORPEDO	141	Unguided Torpedo	1	1	1	Advtorpedo	650	4.5	3	90	60	20	45500	16		torpedo1	xplodep1			1	1	1		1167	fx	explode3	fx	h2oboom1	fx	lavasplashsm		1000																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\ArmEMP_weapon.ARMEMP_WEAPON	139	Atomic Blast Weapon	1	1		empmisl	32000	130	5	350		50	32768	512	1000	misicbm1	xplomed4	100	.1	1		1	1	4000	empboom	empboom	fx	h2oboom2	fx	lavasplashlg	1	1																							0.80							1		1	1	1	400	18000	1	1	1	1	1	24	1.5	1	1	100	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\armfark_weapon.ARMFARK_WEAPON	157	Plasma Cannon	4		1		320	1.8		210				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	112																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Armfhlt_weapon.ARMFHLT_LASER	48	High Energy Laser	0	1	1		480	1.1		800				8		Lasrmas2	lasrhit1	90						8000	fx	explode5	fx	h2oboom1	fx	lavasplashsm		200																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armflak_weapon.ARMFLAK_GUN	42	Flak Cannon	4		1		700	0.6	1	950				120		canlite2	xplomed2							767	fx	explode3	fx	h2o	fx	lavasplash	1	130																					1	1	0.90	-24	1000	1	1																																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\armflea_weapon.ARMFLEA_WEAPON	111	Light Laser	0	1	1		300	.8		900				8		lasrfir3	lasrhit2	30						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		8																											232	1	234							0																																																																																																																																																													1																																																																																																																									
ReImagined HPI Compile\ReIm_Weapons\Armfrt_weapon.ARMFRT_MISSILE	143	Missiles	1	1	1	missile	700	2	5	660	470	154	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	46	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armlatnk weapon.Armlatnk_weapon	166	Lightning Gun	7	1	1		210	1.55		400				8		lghthvy1	lashit	50							fx	explode5	fx	h2oboom1			1	120																											208	1	196																																																																																																																																																																				1	10																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\Armmanni_weapon.ARMMANNI_WEAPON	175	Annihilator Weapon	0	1	1		700	6		1000				8		annigun1	xplolrg1	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		1300																									100		144	1	217							1500																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armmav_weapon.ARMMAV_WEAPON	190	Gauss Cannon	4	1	1		340	.8		350				8		Mavgun2	xplomed2							300	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	320																								-15																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\Armmh_weapon.ARMMH_WEAPON	197	Rocket	1	1		armmhmsl	670	9	5	400		40	24384	80	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	300																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\Armmine1_weapon.armmine1	184	Level 1 Mine	4				480	3.6		250				160		largegun	exmine1								fx	explode2	fx	h2oboom2				400																					1		0.1																			0	0																																																																																																																																																								30																																																																																																																							
ReImagined HPI Compile\ReIm_Weapons\Armmine2_weapon.armmine2	185	Blast Mine	4				480	3.6		250				200		largegun	exmine2								fx	explode2	fx	h2o				600																					1		0.05																			0	0																																																																																																																																																									30																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armmine3_weapon.armmine3	186	Focal Mine	4				480	3.6		250				130		largegun	exmine3								fx	explode2	fx	h2o				1300																					1		0.1																			0	0																																																																																																																																																										30																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Armmine4_weapon.armmine4	187	Wide Blast Mine	4				480	3.6		250				180		largegun	exmine4								fx	explode2	fx	h2o				1500																					1		0.05																			0	0																																																																																																																																																											30																																																																																																																				
ReImagined HPI Compile\ReIm_Weapons\Armmine5_weapon.armmine5	188	Whap Mine	4				480	3.6		250				130		largegun	exmine4								fx	explode2	fx	h2o				2000																					1		0.1																			0	0																																																																																																																																																												30																																																																																																																			
ReImagined HPI Compile\ReIm_Weapons\Armmine6_weapon.armmine6	189	Nuclear Mine	4				480	3.6		250				350		largegun	xplonuk3								fx	explode2	fx	h2o				4500																					1		0.15																			0	0																																																																																																																																																													2900	2900																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\Armscab_weapon.ARMSCAB_WEAPON	117	Rocket	1	1		amdrocket	27000	120	4	800		60	32768	96	200	Rockhvy1	xplomed4	100	.1	1	1	1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	60	10000	1				1																																																																																																																																																																	2000	1																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Armscorp_weapon.ARMSCORP_WEAPON	145	Paralyzer	0	1	1		320	1.2		600				8		Lasrmas2	lasrhit1								fx	explode5	fx	h2oboom1				400																								0			209	1	211																																																																																																																																																																				1	.04																																																																																																																								
