	UNITMENU	MENU	BUTTON	UNITNAME
ReImagined HPI RAW\download\ARMAAS.MENUENTRY1	ARMASY	3	1	ARMAAS
ReImagined HPI RAW\download\ARMAMB.MENUENTRY1	ARMACK	3	5	ARMAMB
ReImagined HPI RAW\download\ARMAMB.MENUENTRY2	ARMACV	3	5	ARMAMB
ReImagined HPI RAW\download\ARMAMB.MENUENTRY3	ARMACA	3	5	ARMAMB
ReImagined HPI RAW\download\ARMAMPH.MENUENTRY1	ARMALAB	3	4	ARMAMPH
ReImagined HPI RAW\download\ARMAWAC.MENUENTRY1	ARMAAP	3	0	ARMAWAC
ReImagined HPI RAW\download\ARMCKFUS.MENUENTRY1	ARMACK	4	0	ARMCKFUS
ReImagined HPI RAW\download\ARMCKFUS.MENUENTRY2	ARMACV	4	0	ARMCKFUS
ReImagined HPI RAW\download\ARMCKFUS.MENUENTRY3	ARMACA	4	0	ARMCKFUS
ReImagined HPI RAW\download\Armdecom.MENUENTRY1	ARMALAB	4	1	ARMDECOM
ReImagined HPI RAW\download\ARMEMP.MENUENTRY1	ARMACK	4	5	ARMEMP
ReImagined HPI RAW\download\ARMEMP.MENUENTRY2	ARMACV	4	5	ARMEMP
ReImagined HPI RAW\download\ARMEMP.MENUENTRY3	ARMACA	4	5	ARMEMP
ReImagined HPI RAW\download\ARMFARK.MENUENTRY1	ARMALAB	4	2	ARMFARK
ReImagined HPI RAW\download\ARMFDRAG.MENUENTRY1	ARMCS	4	0	ARMFDRAG
ReImagined HPI RAW\download\Armfhlt.MENUENTRY1	ARMCS	3	4	ARMFHLT
ReImagined HPI RAW\download\ARMFLAK.MENUENTRY1	ARMACK	3	3	ARMFLAK
ReImagined HPI RAW\download\ARMFLAK.MENUENTRY2	ARMACV	3	3	ARMFLAK
ReImagined HPI RAW\download\ARMFLAK.MENUENTRY3	ARMACA	3	3	ARMFLAK
ReImagined HPI RAW\download\ARMFLEA.MENUENTRY1	ARMLAB	3	1	ARMFLEA
ReImagined HPI RAW\download\Armfmkr.MENUENTRY1	ARMCS	3	2	ARMFMKR
ReImagined HPI RAW\download\Armfort.MENUENTRY1	ARMACK	3	4	ARMFORT
ReImagined HPI RAW\download\Armfort.MENUENTRY2	ARMACV	3	4	ARMFORT
ReImagined HPI RAW\download\Armfort.MENUENTRY3	ARMACA	3	4	ARMFORT
ReImagined HPI RAW\download\Armfrt.MENUENTRY1	ARMCS	3	0	ARMFRT
ReImagined HPI RAW\download\ARMHP.MENUENTRY1	ARMCK	5	0	ARMHP
ReImagined HPI RAW\download\ARMHP.MENUENTRY2	ARMCV	5	0	ARMHP
ReImagined HPI RAW\download\ARMHP.MENUENTRY3	ARMCA	5	0	ARMHP
ReImagined HPI RAW\download\ARMLATNK.MENUENTRY1	ARMAVP	4	0	ARMLATNK
ReImagined HPI RAW\download\Armmanni.MENUENTRY1	ARMAVP	3	2	ARMMANNI
ReImagined HPI RAW\download\Armmark.MENUENTRY1	ARMALAB	3	2	ARMMARK
ReImagined HPI RAW\download\ARMMAV.MENUENTRY1	ARMALAB	3	0	ARMMAV
ReImagined HPI RAW\download\ARMMLV.MENUENTRY1	ARMVP	2	5	ARMMLV
ReImagined HPI RAW\download\Armmmkr.MENUENTRY1	ARMACK	4	1	ARMMMKR
ReImagined HPI RAW\download\Armmmkr.MENUENTRY2	ARMACV	4	1	ARMMMKR
ReImagined HPI RAW\download\Armmmkr.MENUENTRY3	ARMACA	4	1	ARMMMKR
ReImagined HPI RAW\download\ARMSCAB.MENUENTRY1	ARMAVP	3	4	ARMSCAB
ReImagined HPI RAW\download\ARMSCRAM.MENUENTRY1	ARMASY	3	2	ARMSCRAM
ReImagined HPI RAW\download\Armsjam.MENUENTRY1	ARMASY	3	0	ARMSJAM
ReImagined HPI RAW\download\ARMSNIPE.MENUENTRY1	ARMALAB	3	5	ARMSNIPE
ReImagined HPI RAW\download\ARMSPY.MENUENTRY1	ARMALAB	4	0	ARMSPY
ReImagined HPI RAW\download\ARMTARG.MENUENTRY1	ARMACK	4	2	ARMTARG
ReImagined HPI RAW\download\ARMTARG.MENUENTRY2	ARMACV	4	2	ARMTARG
ReImagined HPI RAW\download\ARMTARG.MENUENTRY3	ARMACA	4	2	ARMTARG
ReImagined HPI RAW\download\ARMUWES.MENUENTRY1	ARMCS	3	1	ARMUWES
ReImagined HPI RAW\download\ARMUWMEX.MENUENTRY1	ARMCS	3	5	ARMUWMEX
ReImagined HPI RAW\download\ARMUWMS.MENUENTRY1	ARMCS	3	3	ARMUWMS
ReImagined HPI RAW\download\ARMVULC.MENUENTRY1	ARMACK	4	3	ARMVULC
ReImagined HPI RAW\download\ARMVULC.MENUENTRY2	ARMACV	4	3	ARMVULC
ReImagined HPI RAW\download\ARMVULC.MENUENTRY3	ARMACA	4	3	ARMVULC
ReImagined HPI RAW\download\ARMWAR.MENUENTRY1	ARMLAB	3	0	ARMWAR
ReImagined HPI RAW\download\ARMYORK.MENUENTRY1	ARMAVP	3	3	ARMYORK
ReImagined HPI RAW\download\CORAMPH.MENUENTRY1	CORALAB	3	4	CORAMPH
ReImagined HPI RAW\download\CORARCH.MENUENTRY1	CORASY	3	1	CORARCH
ReImagined HPI RAW\download\CORAWAC.MENUENTRY1	CORAAP	3	0	CORAWAC
ReImagined HPI RAW\download\Corbuzz.MENUENTRY1	CORACK	4	3	CORBUZZ
ReImagined HPI RAW\download\Corbuzz.MENUENTRY2	CORACV	4	3	CORBUZZ
ReImagined HPI RAW\download\Corbuzz.MENUENTRY3	CORACA	4	3	CORBUZZ
ReImagined HPI RAW\download\Corckfus.MENUENTRY1	CORACK	4	0	CORCKFUS
ReImagined HPI RAW\download\Corckfus.MENUENTRY2	CORACV	4	0	CORCKFUS
ReImagined HPI RAW\download\Corckfus.MENUENTRY3	CORACA	4	0	CORCKFUS
ReImagined HPI RAW\download\Cordecom.MENUENTRY1	CORALAB	4	1	CORDECOM
ReImagined HPI RAW\download\CORFAST.MENUENTRY1	CORALAB	2	5	CORFAST
ReImagined HPI RAW\download\CORFDRAG.MENUENTRY1	CORCS	4	0	CORFDRAG
ReImagined HPI RAW\download\Corfhlt.MENUENTRY1	CORCS	3	4	CORFHLT
ReImagined HPI RAW\download\CORFLAK.MENUENTRY1	CORACK	3	3	CORFLAK
ReImagined HPI RAW\download\CORFLAK.MENUENTRY2	CORACV	3	3	CORFLAK
ReImagined HPI RAW\download\CORFLAK.MENUENTRY3	CORACA	3	3	CORFLAK
ReImagined HPI RAW\download\Corfmkr.MENUENTRY1	CORCS	3	2	CORFMKR
ReImagined HPI RAW\download\Corfort.MENUENTRY1	CORACK	3	4	CORFORT
ReImagined HPI RAW\download\Corfort.MENUENTRY2	CORACV	3	4	CORFORT
ReImagined HPI RAW\download\Corfort.MENUENTRY3	CORACA	3	4	CORFORT
ReImagined HPI RAW\download\Corfrt.MENUENTRY1	CORCS	3	0	CORFRT
ReImagined HPI RAW\download\CORGANT.MENUENTRY1	CORACK	4	4	CORGANT
ReImagined HPI RAW\download\CORHP.MENUENTRY1	CORCK	5	0	CORHP
ReImagined HPI RAW\download\CORHP.MENUENTRY2	CORCV	5	0	CORHP
ReImagined HPI RAW\download\CORHP.MENUENTRY3	CORCA	5	0	CORHP
ReImagined HPI RAW\download\Corhrk.MENUENTRY1	CORALAB	3	1	CORHRK
ReImagined HPI RAW\download\CORLEVLR.MENUENTRY1	CORVP	3	0	CORLEVLR
ReImagined HPI RAW\download\CORMABM.MENUENTRY1	CORAVP	3	4	CORMABM
ReImagined HPI RAW\download\CORMLV.MENUENTRY1	CORVP	2	5	CORMLV
ReImagined HPI RAW\download\Cormmkr.MENUENTRY1	CORACK	4	1	CORMMKR
ReImagined HPI RAW\download\Cormmkr.MENUENTRY2	CORACV	4	1	CORMMKR
ReImagined HPI RAW\download\Cormmkr.MENUENTRY3	CORACA	4	1	CORMMKR
ReImagined HPI RAW\download\Cormort.MENUENTRY1	CORALAB	3	0	CORMORT
ReImagined HPI RAW\download\Cornecro.MENUENTRY1	CORALAB	4	2	CORNECRO
ReImagined HPI RAW\download\CORPLAS.MENUENTRY1	CORCOM	5	1	CORPLAS
ReImagined HPI RAW\download\CORPLAS.MENUENTRY2	CORCK	5	2	CORPLAS
ReImagined HPI RAW\download\CORPLAS.MENUENTRY3	CORCV	5	2	CORPLAS
ReImagined HPI RAW\download\CORPLAS.MENUENTRY4	CORCA	5	2	CORPLAS
ReImagined HPI RAW\download\CORSENT.MENUENTRY1	CORAVP	3	3	CORSENT
ReImagined HPI RAW\download\Corsjam.MENUENTRY1	CORASY	3	0	CORSJAM
ReImagined HPI RAW\download\Corspy.MENUENTRY1	CORALAB	4	0	CORSPY
ReImagined HPI RAW\download\Corssub.MENUENTRY1	CORASY	3	2	CORSSUB
ReImagined HPI RAW\download\CORSUMO.MENUENTRY1	CORALAB	3	3	CORSUMO
ReImagined HPI RAW\download\CORTARG.MENUENTRY1	CORACK	4	2	CORTARG
ReImagined HPI RAW\download\CORTARG.MENUENTRY2	CORACV	4	2	CORTARG
ReImagined HPI RAW\download\CORTARG.MENUENTRY3	CORACA	4	2	CORTARG
ReImagined HPI RAW\download\CORTOAST.MENUENTRY1	CORACK	3	5	CORTOAST
ReImagined HPI RAW\download\CORTOAST.MENUENTRY2	CORACV	3	5	CORTOAST
ReImagined HPI RAW\download\CORTOAST.MENUENTRY3	CORACA	3	5	CORTOAST
ReImagined HPI RAW\download\CORTRON.MENUENTRY1	CORACK	4	5	CORTRON
ReImagined HPI RAW\download\CORTRON.MENUENTRY2	CORACV	4	5	CORTRON
ReImagined HPI RAW\download\CORTRON.MENUENTRY3	CORACA	4	5	CORTRON
ReImagined HPI RAW\download\CORUWES.MENUENTRY1	CORCS	3	1	CORUWES
ReImagined HPI RAW\download\CORUWMEX.MENUENTRY1	CORCS	3	5	CORUWMEX
