	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	nodrawundergray	featurereclamate	nodisplayinfo	permanent	energy 
ReImagined HPI RAW\features\Acid\AcidMetal.AcidMetal1	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal01		0	1	5	86	32009	1																										
ReImagined HPI RAW\features\Acid\AcidMetal.AcidMetal2	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal02		0	1	5	140	32009	1																										
ReImagined HPI RAW\features\Acid\AcidMetal.AcidMetal3	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal03		0	1	5	235	32009	1																										
ReImagined HPI RAW\features\Acid\AcidMetal.AcidAquaOre1	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore01		0	1	5	86	32009	1																										
ReImagined HPI RAW\features\Acid\AcidMetal.AcidAquaOre2	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore02		0	1	5	127	32009	1																										
ReImagined HPI RAW\features\Acid\AcidMetal.AcidAquaOre3	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore03		0	1	5	223	32009	1																										
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant01	acid	Gasbag	Gasplants	1	1	1	180	acidplant	acidplant01	acidplantshad01	0	1	20				acidplantrec01	525	acidplantburn01		acidscar1	5	15	5	75	Gasbag	acidp-boom01	acidscar1	1	1	acidscar1	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant01b	acid	Gasbag	Gasplants	1	1	1	180	acidplant	acidplant01b	acidplantshad01b	0	1	20				acidplantrec01	530	acidplantburn01		acidscar1	5	15	5	75	Gasbag	acidp-boom01	acidscar1	1	1	acidscar1	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant02	acid	Gasbag	Gasplants	1	1	1	220	acidplant	acidplant02	acidplantshad02	0	1	20				acidplantrec02	590	acidplantburn02		acidscar2	5	15	5	75	Gasbag	acidp-boom02	acidscar2	1	1	acidscar2	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant02b	acid	Gasbag	Gasplants	1	1	1	220	acidplant	acidplant02b	acidplantshad02b	0	1	20				acidplantrec02	580	acidplantburn02		acidscar2	5	15	5	75	Gasbag	acidp-boom02	acidscar2	1	1	acidscar2	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant03	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant03	acidplantshad03	0	1	20				acidplantrec03	550	acidplantburn03		acidscar3	5	15	5	75	Gasbag	acidp-boom03	acidscar3	1	1	acidscar3	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant03b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant03b	acidplantshad03b	0	1	20				acidplantrec03	555	acidplantburn03		acidscar3	5	15	5	75	Gasbag	acidp-boom03	acidscar3	1	1	acidscar3	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant04	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant04	acidplantshad04	0	1	20				acidplantrec04	620	acidplantburn04		acidscar4	5	15	5	75	Gasbag	acidp-boom04	acidscar4	1	1	acidscar4	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant04b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant04b	acidplantshad04b	0	1	20				acidplantrec04	625	acidplantburn04		acidscar4	5	15	5	75	Gasbag	acidp-boom04	acidscar4	1	1	acidscar4	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant05	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant05	acidplantshad05	0	1	20				acidplantrec05	650	acidplantburn05		acidscar5	5	15	5	75	Gasbag	acidp-boom05	acidscar5	1	1	acidscar5	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.AcidPlant05b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant05b	acidplantshad05b	0	1	20				acidplantrec05	645	acidplantburn05		acidscar5	5	15	5	75	Gasbag	acidp-boom05	acidscar5	1	1	acidscar5	0	6	1								
ReImagined HPI RAW\features\Acid\AcidPlants.acidscar1	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge01		1		0															acidscar1	0	0		0	6	0								
ReImagined HPI RAW\features\Acid\AcidPlants.acidscar2	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge02		1		0															acidscar2	0	0		0	6	0								
ReImagined HPI RAW\features\Acid\AcidPlants.acidscar3	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge03		1		0															acidscar3	0	0		0	6	0								
ReImagined HPI RAW\features\Acid\AcidPlants.acidscar4	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge04		1		0															acidscar4	0	0		0	6	0								
ReImagined HPI RAW\features\Acid\AcidPlants.acidscar5	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge05		1		0															acidscar5	0	0		0	6	0								
