	COMMON.id	COMMON.assoc	COMMON.name	COMMON.xpos	COMMON.ypos	COMMON.width	COMMON.height	COMMON.attribs	COMMON.colorf	COMMON.colorb	COMMON.texturenumber	COMMON.fontnumber	COMMON.active	COMMON.commonattribs	COMMON.help	totalgadgets	VERSION.major	VERSION.minor	VERSION.revision	panel	crdefault	escdefault	defaultfocus	hotornot	text	status	quickkey	grayedout	stages	range	thick	knobpos	knobsize	filename	link	crtdefault	maxchars	itemheight
ReImagined HPI RAW\guis\ALLIES.GADGET0	0	205	allies.GUI	240	108	241	339	52685	52685	52685	0	-51	1	-51		40	-51	-51	-51		OK	OK	OK															
ReImagined HPI RAW\guis\ALLIES.GADGET1	6	0	LOGO0	10	12	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET2	6	0	LOGO1	10	35	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET3	6	0	LOGO2	10	58	130	21	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET4	6	0	LOGO3	10	82	130	19	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET5	6	0	LOGO4	10	104	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET6	6	0	LOGO5	10	127	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET7	6	0	LOGO6	10	150	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET8	6	0	LOGO7	10	173	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET9	6	0	LOGO8	10	196	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET10	6	0	LOGO9	10	219	130	20	0	15	0	0	0	1	0										0														
ReImagined HPI RAW\guis\ALLIES.GADGET11	5	0	PLAYER0	14	14	120	15	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET12	5	0	PLAYER1	15	36	120	16	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET13	5	0	PLAYER2	16	60	116	17	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET14	5	0	PLAYER3	18	84	116	15	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET15	5	0	PLAYER5	15	129	120	16	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET16	5	0	PLAYER6	15	152	120	16	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET17	5	0	PLAYER7	15	176	120	15	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET18	5	0	PLAYER8	15	200	120	14	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET19	1	0	OK	79	297	96	31	2	0	0	0	0	1	0											OK	0	79	0	0									
ReImagined HPI RAW\guis\ALLIES.GADGET20	5	0	PLAYER4	14	106	120	15	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ALLIES.GADGET21	5	0	TEXT	64	250	106	17	18	15	0	0	0	1	0											Allied Victory													
ReImagined HPI RAW\guis\ALLIES.GADGET22	1	0	VICTORY	69	268	120	20	1	0	0	0	0	1	0											Off|On	0	102	0	2									
